listingPrice,zestimate,saleLikelihood,avgPriceChange,propertyTaxRate,propertyTaxRateEncoded,arm5BucketRate,favoriteCount,pageViewCount,daysOnMarket,hoaFee,yearBuilt,homeType,bedrooms,bathroomsFloat,parkingCapacity,avgSchoolRating,hasHeating,hasGarage,zipcode,zipcodeEncoded,latitude,longitude,zestimatePriceAvg
5995000.0,5770187.0,0.37,-0.0685,0.88,4,8,16.0,299.0,311.0,5082.0,1983.0,1,3.0,3.0,0.0,7.0,0,0,10022.0,11,40.7623,-73.9739,5882593.5
5995000.0,5842584.0,0.05,0.3421,0.88,0,8,2.0,53.0,166.0,3024.0,2021.0,2,4.0,8.0,0.0,3.0,0,0,10024.0,19,40.79173,-73.97444,5918792.0
5995000.0,5755199.0,0.47,35306.2139,0.88,4,7,38.0,382.0,170.0,4222.0,2016.0,1,2.0,3.0,0.0,6.0,0,0,10007.0,8,40.714172,-74.0074,5875099.5
5999000.0,5869591.0,0.42,0.3099,0.0,4,8,39.0,446.0,76.0,5193.0,1880.0,1,3.0,3.0,0.0,6.0,0,0,10012.0,39,40.722683,-73.99928,5934295.5
5999000.0,5910779.0,0.71,50499.858,0.65,4,8,4.0,247.0,9.0,0.0,1910.0,1,15.0,6.0,1.0,4.0,0,0,11205.0,6,40.693493,-73.96924,5954889.5
5995000.0,5811288.0,0.0,88499.7096,0.88,4,8,6.0,80.0,363.0,4238.0,2016.0,4,3.0,4.0,0.0,7.0,0,0,10022.0,40,40.759083,-73.96587,5903144.0
5995000.0,5874799.0,0.64,0.0561,0.88,0,8,22.0,307.0,41.0,1965.0,1931.0,2,3.0,3.0,0.0,7.0,0,0,10011.0,24,40.7358,-73.9967,5934899.5
5995000.0,5777304.0,0.05,0.0667,0.88,4,8,12.0,237.0,130.0,3685.0,2016.0,1,2.0,2.0,0.0,5.0,0,0,10013.0,9,40.72428,-74.00625,5886152.0
5995000.0,5874799.0,0.03,0.0046,0.88,0,8,4.0,121.0,136.0,3924.0,1920.0,2,4.0,4.0,0.0,3.0,0,0,10025.0,40,40.797997,-73.97313,5934899.5
5995000.0,4816200.0,0.66,0.068,0.0,1,8,9.0,319.0,32.0,9398.0,1918.0,4,5.0,4.0,0.0,10.0,0,0,10023.0,107,40.780197,-73.98379,5405600.0
5950000.0,5715700.0,0.69,0.2628,0.0,0,8,10.0,406.0,22.0,4850.0,1940.0,2,2.0,2.0,0.0,7.0,0,0,10021.0,18,40.77381,-73.96556,5832850.0
5995000.0,5755199.0,0.22,0.0252,0.88,1,8,7.0,82.0,136.0,3922.0,2016.0,3,2.0,3.0,0.0,6.0,0,0,10007.0,105,40.712776,-74.00903,5875099.5
5995000.0,5920070.0,0.76,1.2632,0.65,4,8,443.0,4680.0,33.0,0.0,1899.0,1,4.0,5.0,0.0,4.0,1,0,11217.0,19,40.68512,-73.9878,5957535.0
5995000.0,5832045.0,0.51,0.4559,0.88,4,8,41.0,957.0,131.0,0.0,1899.0,1,3.0,3.0,0.0,7.0,0,0,10065.0,11,40.764717,-73.965744,5913522.5
5950000.0,5830402.0,0.35,0.0921,0.88,1,8,11.0,137.0,66.0,2578.0,1989.0,1,3.0,3.0,0.0,10.0,0,0,10023.0,92,40.774223,-73.98426,5890201.0
5995000.0,5797145.0,0.32,0.354,0.65,4,8,75.0,1755.0,170.0,0.0,1901.0,5,5.0,5.0,0.0,5.0,0,0,11211.0,20,40.714962,-73.95503,5896072.5
6200000.0,6075377.0,0.32,2.1883,0.88,1,7,29.0,627.0,296.0,0.0,1900.0,1,6.0,5.0,0.0,5.0,0,0,10011.0,92,40.7483,-74.002975,6137688.5
6200000.0,6075377.0,0.7,-0.0063,0.88,4,8,16.0,257.0,10.0,3761.0,2006.0,1,5.0,5.0,0.0,6.0,0,0,10069.0,11,40.77508,-73.99249,6137688.5
5995000.0,5904166.0,0.34,-0.0388,0.88,0,8,74.0,2080.0,138.0,0.0,1899.0,2,6.0,7.0,0.0,6.0,0,0,10024.0,24,40.783928,-73.97551,5949583.0
5995000.0,5774300.0,0.23,0.1165,0.0,0,8,8.0,105.0,97.0,7194.0,1928.0,2,3.0,4.0,0.0,7.0,0,0,10028.0,18,40.780476,-73.960686,5884650.0
5988000.0,5924167.0,0.7,0.1364,0.65,4,8,59.0,773.0,41.0,4925.0,1910.0,1,5.0,5.0,0.0,4.0,0,0,11201.0,4,40.70303,-73.99077,5956083.5
5995000.0,5888422.0,0.69,0.7093,0.88,4,8,3.0,134.0,18.0,3669.0,1960.0,1,2.0,2.0,0.0,5.0,0,0,10023.0,19,40.79751,-73.95031,5941711.0
5975000.0,5775833.0,0.09,0.0028,0.88,4,8,1.0,85.0,318.0,2447.0,2021.0,5,3.0,3.0,0.0,7.0,0,0,10024.0,12,40.7833,-73.98141,5875416.5
5950000.0,5712500.0,0.21,0.0097,0.0,4,8,7.0,138.0,177.0,8915.0,1925.0,3,3.0,3.0,0.0,7.0,0,0,10028.0,21,40.778973,-73.96177,5831250.0
6250000.0,3219100.0,0.84,0.1015,0.88,0,8,32.0,374.0,24.0,2544.0,2005.0,2,2.0,2.0,0.0,6.0,0,0,10013.0,40,40.71883,-74.0035,4734550.0
6250000.0,4540300.0,0.15,-0.058,0.0,4,8,7.0,90.0,201.0,10940.0,1927.0,1,3.0,3.0,0.0,7.0,0,0,10022.0,20,40.754047,-73.96328,5395150.0
5950000.0,5783066.0,0.33,0.0468,0.88,4,8,49.0,965.0,75.0,2396.0,1890.0,1,4.0,4.0,0.0,7.0,0,0,10028.0,18,40.775,-73.9496,5866533.0
5950000.0,5830402.0,0.08,0.0652,0.88,4,8,4.0,81.0,79.0,3740.0,1960.0,1,2.0,3.0,0.0,5.0,0,0,10023.0,20,40.79751,-73.95031,5890201.0
6150000.0,6039078.0,0.14,0.6291,0.0,0,8,5.0,122.0,169.0,8813.0,1904.0,2,4.0,5.0,0.0,5.0,0,0,10023.0,24,40.78047,-73.98644,6094539.0
5950000.0,5830402.0,0.96,0.0,0.88,1,8,134.0,1851.0,16.0,0.0,1899.0,3,5.0,3.0,0.0,6.0,0,0,10014.0,124,40.73632,-74.00638,5890201.0
6200000.0,6017646.0,0.07,0.0,0.88,4,8,4.0,69.0,251.0,17200.0,1903.0,1,2.0,3.0,0.0,7.0,0,0,10022.0,38,40.76125,-73.97448,6108823.0
6200000.0,6073469.0,0.19,-0.0974,0.0,4,8,9.0,63.0,114.0,14579.0,1931.0,1,3.0,4.0,0.0,7.0,0,0,10022.0,20,40.75464,-73.96311,6136734.5
6200000.0,5921800.0,0.11,0.1325,0.0,4,8,2.0,62.0,298.0,7664.0,1917.0,1,3.0,3.0,0.0,7.0,0,0,10075.0,92,40.774956,-73.9615,6060900.0
6200000.0,6003339.0,0.16,0.0235,0.88,4,8,12.0,207.0,144.0,3003.0,2018.0,1,3.0,4.0,0.0,6.0,0,0,10007.0,6,40.71541,-74.01259,6101669.5
6500000.0,3415300.0,0.01,0.1344,0.88,0,8,4.0,67.0,394.0,3898.0,2005.0,2,2.0,3.0,0.0,7.0,0,0,10022.0,24,40.761578,-73.96763,4957650.0
6225000.0,6040555.0,0.02,0.0,0.88,0,8,2.0,43.0,366.0,2889.0,2021.0,2,3.0,4.0,0.0,7.0,0,0,10024.0,11,40.7833,-73.98141,6132777.5
6199999.0,5511110.0,0.01,0.0,0.87,4,8,197.0,4209.0,72.0,0.0,1905.0,3,9.0,8.0,4.0,6.0,0,0,10304.0,23,40.593994,-74.106804,5855554.5
6500000.0,4723100.0,0.51,0.7289,0.88,1,8,64.0,2470.0,678.0,0.0,1910.0,5,4.0,4.0,0.0,6.0,0,0,10014.0,105,40.7363,-74.00173,5611550.0
5495000.0,5275500.0,0.17,0.1867,0.0,4,8,2.0,59.0,146.0,6927.0,1916.0,1,3.0,3.0,0.0,7.0,0,0,10028.0,19,40.779247,-73.95847,5385250.0
5700000.0,5513454.0,0.48,0.0376,0.0,4,8,58.0,508.0,54.0,6152.0,1960.0,1,3.0,3.0,0.0,5.0,0,0,10013.0,24,40.721394,-74.00336,5606727.0
5700000.0,5493016.0,0.17,21.2923,0.88,1,8,17.0,299.0,340.0,0.0,1930.0,3,5.0,6.0,0.0,4.0,0,0,10027.0,92,40.808083,-73.953575,5596508.0
5600000.0,5434808.0,0.06,0.0,0.88,4,8,12.0,185.0,194.0,4597.0,2022.0,1,3.0,4.0,0.0,6.0,0,0,10013.0,9,40.726505,-74.008575,5517404.0
5600000.0,5556728.0,0.41,0.0315,0.0,1,8,26.0,897.0,361.0,5908.0,1930.0,3,3.0,3.0,0.0,7.0,0,0,10023.0,107,40.77785,-73.97476,5578364.0
5495000.0,5326610.0,0.05,-0.0275,0.88,1,8,6.0,100.0,79.0,5862.0,2015.0,3,3.0,4.0,0.0,5.0,1,0,10001.0,101,40.75381,-74.00255,5410805.0
5500000.0,5347692.0,0.03,0.0101,0.88,0,8,7.0,147.0,127.0,2745.0,2015.0,2,4.0,4.0,0.0,6.0,1,0,10069.0,9,40.773994,-73.99128,5423846.0
5600000.0,5517646.0,0.44,0.5245,0.65,4,8,45.0,1324.0,67.0,0.0,1905.0,1,6.0,4.0,0.0,6.0,0,0,11215.0,1,40.673134,-73.974724,5558823.0
5499900.0,5419019.0,0.15,-0.0416,0.65,1,8,10.0,531.0,105.0,0.0,1960.0,1,7.0,7.0,0.0,5.0,1,0,11231.0,129,40.68095,-74.00028,5459459.5
5500000.0,5285285.0,0.0,0.0,0.65,4,8,1.0,57.0,107.0,0.0,1925.0,3,16.0,8.0,0.0,5.0,0,0,11220.0,19,40.643307,-73.99875,5392642.5
5500000.0,4894200.0,0.09,0.0585,0.88,4,8,11.0,111.0,219.0,3499.0,2001.0,3,3.0,3.0,1.0,7.0,0,0,10017.0,13,40.75259,-73.96755,5197100.0
4995000.0,4943856.0,0.94,1.3628,0.65,4,8,85.0,1219.0,18.0,0.0,2015.0,3,4.0,6.0,0.0,7.0,0,0,11215.0,14,40.675793,-73.983444,4969428.0
5500000.0,5385756.0,0.05,-0.0651,0.88,4,8,7.0,106.0,161.0,3393.0,2017.0,1,4.0,5.0,0.0,6.0,0,0,10128.0,10,40.784107,-73.94971,5442878.0
5795000.0,5678517.0,0.07,1.616,0.88,4,8,9.0,265.0,243.0,3279.0,1932.0,1,4.0,5.0,0.0,10.0,0,0,10023.0,20,40.770367,-73.98058,5736758.5
5500000.0,5287553.0,0.28,0.0,0.88,4,8,9.0,78.0,282.0,3714.0,2020.0,1,3.0,4.0,0.0,7.0,0,0,10028.0,38,40.77987,-73.95524,5393776.5
5500000.0,5424000.0,0.13,-0.0635,0.65,4,8,4.0,375.0,290.0,0.0,1910.0,1,6.0,3.0,0.0,8.0,0,0,11201.0,19,40.69159,-73.99836,5462000.0
5500000.0,5360000.0,0.64,0.1303,0.88,4,8,98.0,1437.0,49.0,4002.0,2008.0,1,3.0,3.0,0.0,5.0,0,0,10011.0,16,40.74495,-74.00576,5430000.0
5500000.0,5431256.0,0.83,0.3286,0.65,4,8,74.0,924.0,11.0,0.0,1910.0,1,5.0,7.0,0.0,7.0,0,0,11217.0,6,40.68235,-73.97862,5465628.0
4997000.0,4906509.0,0.68,0.0,0.65,0,8,3.0,165.0,33.0,0.0,1901.0,2,5.0,3.0,0.0,5.0,0,0,11211.0,10,40.714394,-73.94326,4951754.5
5495000.0,5371623.0,0.12,0.0206,0.0,4,8,11.0,224.0,130.0,6500.0,1910.0,1,5.0,2.0,0.0,6.0,0,0,10011.0,17,40.73991,-73.991936,5433311.5
5495000.0,5250777.0,0.1,-0.0205,0.88,4,8,14.0,190.0,129.0,3442.0,2018.0,1,3.0,4.0,0.0,4.0,1,0,10002.0,11,40.72232,-73.98775,5372888.5
5495000.0,5317741.0,0.23,0.0,0.65,4,8,17.0,511.0,367.0,4666.0,2015.0,1,6.0,7.0,0.0,3.0,0,0,11249.0,21,40.70951,-73.967766,5406370.5
5500000.0,5377777.0,0.62,0.5312,0.88,4,8,15.0,370.0,53.0,0.0,1901.0,1,7.0,4.0,0.0,5.0,0,0,10023.0,19,40.779774,-73.985916,5438888.5
5800000.0,5642346.0,0.67,-0.1059,0.88,0,8,12.0,283.0,16.0,0.0,1920.0,2,10.0,8.0,0.0,6.0,0,0,10016.0,11,40.748627,-73.97392,5721173.0
5495000.0,5371623.0,0.14,0.2476,0.88,4,6,21.0,414.0,289.0,0.0,1970.0,1,6.0,6.0,0.0,7.0,0,0,10017.0,34,40.753685,-73.97016,5433311.5
5500000.0,5347692.0,0.85,0.0382,0.88,0,8,41.0,881.0,33.0,3028.0,2014.0,2,3.0,3.0,0.0,5.0,0,0,10012.0,24,40.7293,-73.9997,5423846.0
5850000.0,5673912.0,0.21,0.0,0.88,4,8,4.0,96.0,354.0,2204.0,1908.0,1,3.0,4.0,0.0,6.0,0,0,10024.0,11,40.7882,-73.9754,5761956.0
5495000.0,5345636.0,0.08,0.0322,0.88,1,7,10.0,95.0,61.0,4152.0,1929.0,1,2.0,3.0,0.0,7.0,0,0,10065.0,92,40.767662,-73.96807,5420318.0
5750000.0,5572164.0,0.21,0.0271,0.88,4,8,18.0,182.0,201.0,2881.0,2017.0,3,3.0,4.0,0.0,6.0,0,0,10023.0,13,40.772198,-73.9909,5661082.0
5600000.0,5370227.0,0.1,-0.0479,0.88,1,8,14.0,148.0,298.0,4214.0,2021.0,3,4.0,5.0,0.0,6.0,0,0,10019.0,120,40.77,-73.9924,5485113.5
4995000.0,4903348.0,0.35,0.0651,0.88,4,8,40.0,496.0,83.0,1073.0,1920.0,1,5.0,4.0,0.0,6.0,0,0,10007.0,0,40.714348,-74.00948,4949174.0
5695000.0,5491607.0,0.26,-0.031,0.0,4,7,20.0,371.0,200.0,7368.0,1887.0,1,4.0,4.0,0.0,6.0,0,0,10012.0,14,40.725754,-73.99352,5593303.5
5900000.0,5736615.0,0.87,-0.0439,0.88,4,8,15.0,212.0,10.0,3161.0,1940.0,1,3.0,4.0,0.0,7.0,0,0,10021.0,11,40.7704,-73.96412,5818307.5
5600000.0,5498998.0,0.49,4.4923,0.88,1,8,136.0,1368.0,144.0,1730.0,1890.0,0,4.0,3.0,0.0,6.0,0,0,10013.0,110,40.722336,-74.00721,5549499.0
5625000.0,5447368.0,0.03,0.0,0.88,4,7,6.0,46.0,237.0,3167.0,2022.0,1,3.0,4.0,0.0,3.0,0,0,10025.0,10,40.794598,-73.97239,5536184.0
